_gddid	words	year	expected_lat	intersection_lat	expected_long	intersection_long	dms_regex	dd_regex
578a1f6ecf58f1b54b810cd9	"['Lake', 'Hope', 'Simpson', '-LRB-', 'Labrador', ',', '52', ""'"", '27', ""'"", 'N', ',', '56', ""'"", '26', ""'"", 'W', '-RRB-', 'sediment', 'chemistry', 'diagram', '.']"	1985	['52']	['52']	['56', '58']	['56']	"[""52,',27,',N,,,56,',26,',W""]"	[]
578a1f6ecf58f1b54b810cd9	"['Moraine', 'Lake', '-LRB-', 'Labrador', ',', '52', ""'"", '16', ""'"", 'N', ',', '58', ""'"", '03', ""'"", 'W', '-RRB-', 'sediment', 'chemistry', 'diagram', '.']"	1985	['52']	['52']	['56', '58']	['58']	"[""52,',16,',N,,,58,',03,',W""]"	[]
54b4324ae138239d8684a4a1	"['A.A.', 'Andreev', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '223', '-LRB-', '2005', '-RRB-', '181', '--', '203', '183', 'Yamal', 'Peninsula', '45O', 'A72O', '50O', 'Barents', '70O', 'Sea', '55O', '60O', '65O', '70O', '75O', '73O', 'Kara', 'Sea', '71O', '68O', '2', '1', '0', '66O', '50O', '100', 'km', '55O', '4', 'Yugorsky', 'Peninsula', '5', 'Urals', '*', '3', '6', '79', '8', '10', 'Polar', '60O', '65O', 'B', 'Lake', 'Lyadhej-To', '68O15', ""'"", '27', ""''"", 'N', '65O47', ""'"", '54', ""''"", 'E', '69O', '67O', '70O', '*', 'PG', '1437', 'coring', 'site', 'Other', 'coring', 'sites', 'Rivulet', 'and', 'direction', 'of', 'flow', 'Water', 'depth', ',', 'm', '5', 'PG', '1406', '*', 'PG', '1437', 'PG', '1437', '2020', '15', '10', '15', '10', '5', '10', '151510', 'PPPGGG114134463366', '5', 'PG', '1401', 'PGPG1144388', 'PG', '1245', '02', '5', '101515', '2200', '10', 'N', '0', '300', 'm', 'Fig.', '1', '.']"	2005	['68']	['68']	['65']	['65']	[]	[]
54b43243e138239d86849169	"['6', 'I', '.1', ""'"", '-', ""'"", ',5', '~', ""'"", '1', '2', '22', '11', '8', '73', '~', '2', 'i', '18', 'I', '22', 'zo', 'I', '`', 'OLLENSUM', '--', 'NO', 'INCLUIDOS', 'EN', 'LA', 'SUMA', 'DE', 'POLEN', '1', '1', '2', '2', '_', '~', '151', 'r', '_', 'P', 'f', '___', ';', ',', 'A', 'SUMA', 'DE', 'POLEN', '~', '3o', '9o', 'loo', '%', 'OS', 'DE', 'BOSQUE', 'I', '5', '3', '1', '1', '~', '1', '2', 'I', 'I', 'I', 'i', '1', 'r', 'T', '_', '~', 'L', '_', '~', '_', '_', '_', '_', 't', '__', 'i', '_', 'I', 'I', 'NOT', 'INCLUDEI', '-RRB-', 'I', ""'N'"", 'THE', '!!']"	1973	['5']	['5']	['73']	['73']	[]	[]
54b43243e138239d86849169	"['THE', 'POLLENDIAGRAMLAGUNADE', 'PALACIO', '-LRB-', 'Fig.', '7', '-RRB-', 'The', 'lake', '-LRB-', 'location', '5', '°', '15', ""'"", 'N', '73o48', ""'"", 'W', '-RRB-', 'lies', 'at', '5', 'km', 'south', 'of', 'Ubat', '~', '-LRB-', 'Fig.l', '-RRB-', '.']"	1973	['5']	['5']	['73']	['73']	[]	[]
54b43249e138239d8684a1b2	['Laguna', 'Pallcacocha', '-LRB-', '4060', 'm', '-RRB-', ',', 'the', 'farthest', 'west', 'of', 'the', 'Cajas', 'pollen', 'sites', '-LRB-', 'Figs.', '2', 'and', '10', '-RRB-', ',', 'could', 'as', 'easily', 'be', 'in', '#', 'uenced', 'by', 'westerly', 'winds', 'B.C.S.', 'Hansen', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '194', '-LRB-', '2003', '-RRB-', '79', '^', '108', '81', 'Fig.', '1', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
54b43249e138239d8684a1b2	['Study', 'area', 'The', 'study', 'area', 'is', 'located', 'on', 'the', 'eastern', 'side', 'of', 'the', 'western', 'Cordillera', 'of', 'southern', 'Ecuador', 'at', '2', '‡', '45PS', '79', '‡', '10PW', '-LRB-', 'Fig.', '1', '-RRB-', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
54b43249e138239d8684a1b2	['Temperatures', 'show', 'little', 'seasonal', 'variation', 'but', 'strong', 'diurnal', 'variation', ',', 'with', 'average', 'night', 'time', 'temperatures', 'of', '38', '‡', 'C', 'and', 'average', 'daily', 'temperatures', 'of', '12', '^', '18', '‡', 'C.', '82', 'B.C.S.', 'Hansen', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '194', '-LRB-', '2003', '-RRB-', '79', '^', '108', 'Fig.', '2', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
54b43249e138239d8684a1b2	['B.C.S.', 'Hansen', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '194', '-LRB-', '2003', '-RRB-', '79', '^', '108', '83', 'Our', 'vegetational', 'studies', 'were', 'carried', 'out', 'on', 'sites', 'accessible', 'by', 'foot', 'anywhere', 'from', '6', '1', 'to', '6', 'km', 'o', '¡', 'the', 'main', 'east', '^', 'west', 'road', 'connecting', 'Cuenca', 'to', 'the', 'Paci', 'cents', 'c', 'coast', '-LRB-', 'Fig.', '2', '-RRB-', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
54b43249e138239d8684a1b2	['A', 'V4.4-m-long', 'sediment', 'core', 'from', 'Laguna', 'Chorreras', 'and', 'an', 'V9.5-m-long', 'core', 'from', 'Laguna', 'Pallcacocha', '-LRB-', 'Fig.', '2', '-RRB-', 'were', 'obtained', 'for', 'fossil', 'pollen', 'analysis', 'with', 'a', 'square', 'rod', 'piston', 'corer', 'B.C.S.', 'Hansen', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '194', '-LRB-', '2003', '-RRB-', '79', '^', '108', 'pp.', '85', '^', '86', 'Fig.', '4', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
54b43249e138239d8684a1b2	['Results', 'of', 'modern', 'vegetation', 'survey', 'and', 'pollen', 'surface', 'sample', 'analyses', 'The', 'main', 'objectives', 'of', 'the', 'vegetation-paleoecological', 'part', 'of', 'this', 'study', 'were', 'to', ':', '-LRB-', '1', '-RRB-', 'study', 'present-day', 'plant', 'communities', 'in', 'Cajas', 'National', 'Park', 'and', 'nearby', 'areas', ',', 'focusing', 'on', 'timberline', 'forest', 'composition', 'and', 'the', 'processes', 'a', '¡', 'ecting', 'vegetation', 'composition', ';', '-LRB-', '2', '-RRB-', 'identify', 'di', '¡', 'erences', 'in', 'plant', 'community', 'composition', 'at', 'various', 'elevations', 'that', 'can', 'be', 'identi', 'cents', 'ed', 'in', 'surface', 'pollen', 'samples', ';', 'these', 'data', 'would', 'provide', 'a', 'framework', 'for', 'interpreting', 'fossil', 'palynological', 'data', ';', '-LRB-', '3', '-RRB-', 'document', 'down-core', 'changes', 'in', 'fossil', 'pollen', 'assemblages', ',', 'relating', 'these', 'changes', 'to', 'climate', 'over', 'the', 'past', '18', 'kcal', 'years', ';', '-LRB-', '4', '-RRB-', 'assess', 'pteridophyte', 'ecology', '98', 'B.C.S.', 'Hansen', 'et', 'al.', '/', 'Palaeogeography', ',', 'Palaeoclimatology', ',', 'Palaeoecology', '194', '-LRB-', '2003', '-RRB-', '79', '^', '108', 'and', 'fossil', 'spore', 'value', 'as', 'paleoecological', 'indicators', 'of', 'climatic', 'change', ';', '-LRB-', '5', '-RRB-', 'perform', 'charcoal', 'and', 'conifer', 'stomate', 'analysis', 'as', 'additional', 'proxies', 'for', 'vegetation', 'history', 'and', 'climatic', 'change', '.']	2003	['2']	['2']	['79']	['79']	[]	[]
